Year_Recorded	Region	Province	HIVpos_children	2PCR_children	TRpct	livebirths_100k	pregnancies	HIVpos_pregwomen_labor_room
2013	12	 ปัตตานี	0	29	0.00%	0	10714	31
2013	3	 ชลบุรี	7	200	3.50%	25.54	27405	232
2013	6	 เลย	4	34	11.76%	52.74	7584	34
2013	10	 พะเยา	0	45	0.00%	0	3826	46
2013	6	 อุดรธานี	3	126	2.38%	18.75	16000	109
2013	12	 พัทลุง	0	25	0.00%	0	5511	26
2013	9	 พิษณุโลก	0	30	0.00%	0	7008	49
2013	4	 เพชรบุรี	0	30	0.00%	0	4673	35
2013	10	 แพร่	0	3	0.00%	0	1889	15
2013	6	 มหาสารคาม	0	21	0.00%	0	7509	34
2013	7	 มุกดาหาร	0	11	0.00%	0	4031	12
2013	10	 แม่ฮ่องสอน	0	21	0.00%	0	3145	8
2013	7	 ยโสธร	0	11	0.00%	0	4511	18
2013	12	 ยะลา	0	10	0.00%	0	9400	23
2013	11	 นครศรีธรรมราช	10	85	11.76%	53.97	18529	123
2013	11	 ระนอง	0	15	0.00%	0	4007	36
2013	11	 ภูเก็ต	1	25	4.00%	18.02	5549	37
2013	5	 นครราชสีมา	2	96	2.08%	8.98	22267	124
2013	4	 ราชบุรี	0	28	0.00%	0	7837	67
2013	2	 ลพบุรี	0	9	0.00%	0	5594	29
2013	10	 ลำปาง	0	48	0.00%	0	5056	33
2013	10	 ลำพูน	0	6	0.00%	0	3385	26
2013	7	 ศรีสะเกษ	0	63	0.00%	0	13567	76
2013	3	 ฉะเชิงเทรา	1	30	3.33%	20.67	4839	43
2013	5	 สุรินทร์	1	51	1.96%	7.51	13307	60
2013	7	 สกลนคร	0	43	0.00%	0	12427	55
2013	12	 สงขลา	0	63	0.00%	0	17405	102
2013	6	 หนองบัวลำภู	1	14	7.14%	33.76	2962	15
2013	12	 สตูล	0	28	0.00%	0	5082	27
2013	12	 ตรัง	1	44	2.27%	13.48	7419	54
2013	6	 บึงกาฬ	1	12	8.33%	24.56	4072	23
2013	4	 สมุทรสงคราม	0	9	0.00%	0	1546	8
2013	4	 สมุทรสาคร	0	43	0.00%	0	11007	65
2013	10	 เชียงราย	3	91	3.30%	24.92	12037	114
2013	6	 ขอนแก่น	1	61	1.64%	5.86	17076	98
2013	12	 นราธิวาส	2	30	6.67%	15.32	13059	47
2013	3	 สระแก้ว	0	7	0.00%	0	854	7
2013	2	 สระบุรี	0	30	0.00%	0	7329	43
2013	6	 หนองคาย	1	7	14.29%	33.84	2955	9
2013	8	 พิจิตร	1	27	3.70%	24.04	4160	36
2013	11	 สุราษฎร์ธานี	0	57	0.00%	0	15280	98
2013	1	 อ่างทอง	0	50	0.00%	0	2606	22
2013	7	 อำนาจเจริญ	0	19	0.00%	0	3542	14
2013	8	 อุทัยธานี	0	7	0.00%	0	3069	13
2013	13	 กรุงเทพฯ	1	103	0.97%	5.55	18022	141
2014	11	 ระนอง	1	14	7.14%	25.38	3940	30
2014	7	 อุบลราชธานี	1	72	1.39%	5.39	18537	79
2014	4	 สมุทรสาคร	1	34	2.94%	8.36	11960	62
2014	2	 สระบุรี	1	60	1.67%	13	7690	58
2014	4	 สุพรรณบุรี	2	46	4.35%	23.6	8474	52
2014	4	 นครปฐม	1	31	3.23%	12.94	7729	60
2014	12	 สงขลา	1	92	1.09%	5.76	17352	89
2014	10	 เชียงราย	1	100	1.00%	8.39	11919	119
2014	8	 กำแพงเพชร	1	39	2.56%	16.18	6181	42
2014	4	 ประจวบคีรีขันธ์	1	104	0.96%	13.93	7177	53
2014	5	 นครราชสีมา	1	124	0.81%	4.52	22126	152
2014	3	 ชลบุรี	1	162	0.62%	3.63	27568	248
2014	6	 อุดรธานี	2	132	1.52%	12.82	15604	103
2014	13	 กรุงเทพฯ	5	117	4.27%	19.76	25300	185
2014	3	 ระยอง	4	73	5.48%	40.06	9986	116
2014	11	 กระบี่	0	8	0.00%	0	6966	30
2014	5	 บุรีรัมย์	4	65	6.15%	26.02	15372	69
2014	6	 กาฬสินธุ์	0	87	0.00%	0	8200	42
2014	3	 จันทบุรี	0	58	0.00%	0	6260	49
2014	8	 ชัยนาท	0	13	0.00%	0	2684	15
2014	6	 ร้อยเอ็ด	1	24	4.17%	12.01	8324	33
2014	3	 ฉะเชิงเทรา	2	122	1.64%	24.2	8266	41
2014	5	 ชัยภูมิ	0	39	0.00%	0	8549	37
2014	11	 สุราษฎร์ธานี	1	83	1.20%	6.7	14922	92
2014	6	 ขอนแก่น	2	54	3.70%	14.38	13911	82
2014	3	 ตราด	0	5	0.00%	0	2895	26
2014	9	 ตาก	0	14	0.00%	0	8035	56
2014	1	 นนทบุรี	1	52	1.92%	11.81	8466	101
2014	3	 สมุทรปราการ	3	43	6.98%	27.49	10914	77
2014	10	 เชียงใหม่	2	74	2.70%	15.5	12902	93
2014	12	 ตรัง	3	29	10.34%	42.43	7070	37
2014	7	 นครพนม	0	25	0.00%	0	6070	30
2014	8	 นครสวรรค์	0	65	0.00%	0	8632	62
2014	6	 บึงกาฬ	1	18	5.56%	25.75	3884	25
2014	10	 ลำพูน	1	5	20.00%	29.04	3444	14
2014	10	 น่าน	0	12	0.00%	0	3925	11
2014	4	 กาญจนบุรี	2	47	4.26%	22.04	9076	66
2014	12	 ปัตตานี	0	17	0.00%	0	9797	21
2014	1	 พระนครศรีอยุธยา	0	57	0.00%	0	8438	62
2014	10	 พะเยา	0	23	0.00%	0	3622	22
2014	11	 พังงา	0	12	0.00%	0	3454	22
2014	12	 พัทลุง	0	25	0.00%	0	5390	28
2014	9	 พิษณุโลก	0	23	0.00%	0	6993	35
2014	4	 เพชรบุรี	0	29	0.00%	0	4568	39
2014	10	 แพร่	0	11	0.00%	0	985	4
2014	6	 มหาสารคาม	0	20	0.00%	0	6099	31
2014	2	 นครนายก	1	5	20.00%	26.85	3725	22
2014	7	 มุกดาหาร	0	10	0.00%	0	4001	12
2014	1	 ปทุมธานี	2	33	6.06%	39.73	5034	35
2014	9	 เพชรบูรณ์	1	34	2.94%	12.53	7984	38
2014	10	 แม่ฮ่องสอน	0	14	0.00%	0	2817	12
2014	7	 ยโสธร	0	15	0.00%	0	4415	18
2014	12	 ยะลา	0	8	0.00%	0	9812	29
2014	4	 ราชบุรี	0	19	0.00%	0	7844	65
2014	2	 ลพบุรี	0	26	0.00%	0	5794	32
2014	1	 อ่างทอง	1	22	4.55%	39.23	2549	18
2014	11	 ภูเก็ต	1	35	2.86%	18.11	5521	46
2014	10	 ลำปาง	0	21	0.00%	0	3914	24
2014	6	 เลย	0	29	0.00%	0	6845	23
2014	3	 ปราจีนบุรี	1	15	6.67%	45.79	2184	17
2014	7	 สกลนคร	0	41	0.00%	0	11832	62
2014	8	 พิจิตร	1	26	3.85%	23.82	4198	28
2014	7	 อำนาจเจริญ	1	11	9.09%	28.67	3488	12
2014	12	 สตูล	0	16	0.00%	0	4491	17
2014	4	 สมุทรสงคราม	0	10	0.00%	0	1484	19
2014	12	 นราธิวาส	1	23	4.35%	7.9	12656	37
2014	11	 นครศรีธรรมราช	2	96	2.08%	11.04	18121	110
2014	11	 ชุมพร	2	31	6.45%	29.56	6765	34
2014	3	 สระแก้ว	0	9	0.00%	0	736	4
2014	9	 สุโขทัย	0	12	0.00%	0	4574	35
2014	6	 หนองบัวลำภู	2	7	28.57%	82.82	2415	13
2014	2	 สิงห์บุรี	1	17	5.88%	50.99	1961	17
2014	5	 สุรินทร์	0	47	0.00%	0	12595	49
2014	6	 หนองคาย	0	12	0.00%	0	5106	27
2014	9	 อุตรดิตถ์	0	56	0.00%	0	3639	26
2014	8	 อุทัยธานี	0	14	0.00%	0	2885	22
2014	7	 ศรีสะเกษ	1	56	1.79%	7.82	12783	61
2015	11	 กระบี่	3	31	9.68%	44.72	6708	38
2015	13	 กรุงเทพฯ	1	130	0.77%	4.47	22387	159
2015	4	 กาญจนบุรี	1	40	2.50%	11.87	8427	48
2015	6	 กาฬสินธุ์	1	72	1.39%	12.85	7785	35
2015	8	 กำแพงเพชร	2	41	4.88%	34.97	5719	31
2015	6	 ขอนแก่น	2	71	2.82%	24.12	8292	37
2015	3	 จันทบุรี	0	28	0.00%	0	5885	46
2015	3	 ฉะเชิงเทรา	0	25	0.00%	0	4470	28
2015	3	 ชลบุรี	3	165	1.82%	11.26	26641	227
2015	8	 ชัยนาท	0	13	0.00%	0	2535	19
2015	5	 ชัยภูมิ	0	51	0.00%	0	8386	45
2015	11	 ชุมพร	0	38	0.00%	0	6470	41
2015	10	 เชียงราย	1	111	0.90%	8.65	11556	86
2015	10	 เชียงใหม่	2	41	4.88%	22.76	8788	62
2015	12	 ตรัง	2	35	5.71%	39.2	5102	28
2015	3	 ตราด	0	14	0.00%	0	2829	40
2015	9	 ตาก	1	15	6.67%	12.87	7768	50
2015	2	 นครนายก	0	7	0.00%	0	3401	11
2015	4	 นครปฐม	0	20	0.00%	0	7874	55
2015	7	 นครพนม	0	25	0.00%	0	5623	31
2015	5	 นครราชสีมา	4	115	3.48%	20.39	19614	118
2015	11	 นครศรีธรรมราช	1	74	1.35%	5.76	17351	89
2015	8	 นครสวรรค์	0	46	0.00%	0	8220	41
2015	1	 นนทบุรี	2	304	0.66%	23.15	8639	88
2015	12	 นราธิวาส	1	31	3.23%	8.22	12167	43
2015	10	 น่าน	0	11	0.00%	0	3711	13
2015	6	 บึงกาฬ	0	7	0.00%	0	3046	13
2015	5	 บุรีรัมย์	1	67	1.49%	6.79	14731	89
2015	1	 ปทุมธานี	3	38	7.89%	44.54	6735	44
2015	4	 ประจวบคีรีขันธ์	1	52	1.92%	14.51	6890	58
2015	3	 ปราจีนบุรี	2	16	12.50%	69.4	2882	22
2015	12	 ปัตตานี	0	16	0.00%	0	9650	28
2015	1	 พระนครศรีอยุธยา	0	46	0.00%	0	7923	46
2015	10	 พะเยา	1	17	5.88%	28.44	3516	21
2015	11	 พังงา	2	15	13.33%	65.02	3076	20
2015	12	 พัทลุง	0	21	0.00%	0	4932	18
2015	8	 พิจิตร	1	25	4.00%	26.41	3787	25
2015	9	 พิษณุโลก	0	61	0.00%	0	6621	55
2015	4	 เพชรบุรี	0	33	0.00%	0	4600	33
2015	9	 เพชรบูรณ์	0	36	0.00%	0	7707	40
2015	10	 แพร่	0	5	0.00%	0	583	3
2015	11	 ภูเก็ต	0	17	0.00%	0	4782	22
2015	6	 มหาสารคาม	0	33	0.00%	0	6659	30
2015	7	 มุกดาหาร	0	2	0.00%	0	3812	10
2015	10	 แม่ฮ่องสอน	0	15	0.00%	0	2687	7
2015	7	 ยโสธร	0	4	0.00%	0	2154	8
2015	12	 ยะลา	2	11	18.18%	20.7	9661	28
2015	6	 ร้อยเอ็ด	0	39	0.00%	0	7610	58
2015	11	 ระนอง	1	16	6.25%	27.76	3602	19
2015	3	 ระยอง	2	79	2.53%	20.18	9909	110
2015	4	 ราชบุรี	0	30	0.00%	0	9894	59
2015	2	 ลพบุรี	0	32	0.00%	0	5516	40
2015	10	 ลำปาง	0	25	0.00%	0	4513	24
2015	10	 ลำพูน	0	6	0.00%	0	3190	12
2015	6	 เลย	0	20	0.00%	0	6605	31
2015	7	 ศรีสะเกษ	2	39	5.13%	16.9	11836	50
2015	7	 สกลนคร	2	85	2.35%	16.43	12171	64
2015	12	 สงขลา	0	75	0.00%	0	16220	84
2015	12	 สตูล	0	22	0.00%	0	4448	26
2015	3	 สมุทรปราการ	4	54	7.41%	45.97	8702	76
2015	4	 สมุทรสงคราม	0	11	0.00%	0	1418	15
2015	4	 สมุทรสาคร	2	60	3.33%	15.28	13091	72
2015	3	 สระแก้ว	3	28	10.71%	207.04	1449	26
2015	2	 สระบุรี	0	62	0.00%	0	7630	51
2015	2	 สิงห์บุรี	0	21	0.00%	0	1822	14
2015	9	 สุโขทัย	1	20	5.00%	23.05	4339	20
2015	4	 สุพรรณบุรี	1	56	1.79%	12.24	8171	44
2015	11	 สุราษฎร์ธานี	5	69	7.25%	35.6	14043	86
2015	5	 สุรินทร์	0	41	0.00%	0	10936	54
2015	6	 หนองคาย	0	14	0.00%	0	3480	19
2015	6	 หนองบัวลำภู	2	8	25.00%	116.08	1723	11
2015	1	 อ่างทอง	1	16	6.25%	42.75	2339	6
2015	7	 อำนาจเจริญ	0	21	0.00%	0	3367	13
2015	6	 อุดรธานี	0	96	0.00%	0	14081	83
2015	9	 อุตรดิตถ์	0	165	0.00%	0	3311	21
2015	8	 อุทัยธานี	0	1	0.00%	0	951	1
2015	7	 อุบลราชธานี	1	71	1.41%	5.8	17254	81
2016	11	 กระบี่	0	15	0.00%	0	6482	28
2016	13	 กรุงเทพฯ	5	188	2.66%	15.36	32556	193
2016	4	 กาญจนบุรี	0	41	0.00%	0	8431	47
2016	6	 กาฬสินธุ์	0	39	0.00%	0	7277	42
2016	8	 กำแพงเพชร	1	33	3.03%	18.62	5371	36
2016	6	 ขอนแก่น	1	66	1.52%	6.26	15979	101
2016	3	 จันทบุรี	0	44	0.00%	0	5200	41
2016	3	 ฉะเชิงเทรา	0	21	0.00%	0	4813	30
2016	3	 ชลบุรี	1	197	0.51%	3.59	27826	194
2016	8	 ชัยนาท	0	4	0.00%	0	2282	17
2016	5	 ชัยภูมิ	0	49	0.00%	0	8305	36
2016	11	 ชุมพร	2	19	10.53%	35.46	5640	29
2016	10	 เชียงราย	2	69	2.90%	18.08	11063	89
2016	10	 เชียงใหม่	0	47	0.00%	0	9208	51
2016	12	 ตรัง	0	13	0.00%	0	6133	31
2016	3	 ตราด	0	5	0.00%	0	2413	28
2016	9	 ตาก	0	12	0.00%	0	8061	51
2016	2	 นครนายก	0	11	0.00%	0	3541	21
2016	4	 นครปฐม	0	47	0.00%	0	7948	62
2016	7	 นครพนม	0	14	0.00%	0	5769	19
2016	5	 นครราชสีมา	1	49	2.04%	4.99	20024	104
2016	11	 นครศรีธรรมราช	2	69	2.90%	12.14	16477	93
2016	8	 นครสวรรค์	1	57	1.75%	12.86	7775	45
2016	1	 นนทบุรี	0	71	0.00%	0	8198	58
2016	12	 นราธิวาส	1	27	3.70%	8.35	11972	41
2016	10	 น่าน	0	14	0.00%	0	3666	8
2016	6	 บึงกาฬ	0	13	0.00%	0	3282	14
2016	5	 บุรีรัมย์	1	63	1.59%	7.23	13824	68
2016	1	 ปทุมธานี	0	25	0.00%	0	4302	31
2016	4	 ประจวบคีรีขันธ์	1	60	1.67%	14.75	6779	59
2016	3	 ปราจีนบุรี	0	25	0.00%	0	5571	31
2016	12	 ปัตตานี	0	3	0.00%	0	2068	6
2016	1	 พระนครศรีอยุธยา	0	40	0.00%	0	7613	63
2016	10	 พะเยา	0	7	0.00%	0	3373	25
2016	11	 พังงา	0	14	0.00%	0	3262	24
2016	12	 พัทลุง	0	25	0.00%	0	4576	27
2016	8	 พิจิตร	0	29	0.00%	0	3092	17
2016	9	 พิษณุโลก	0	13	0.00%	0	2949	19
2016	4	 เพชรบุรี	0	20	0.00%	0	4317	41
2016	9	 เพชรบูรณ์	0	35	0.00%	0	7475	39
2016	10	 แพร่	0	4	0.00%	0	451	4
2016	11	 ภูเก็ต	2	24	8.33%	39.83	5021	40
2016	6	 มหาสารคาม	1	42	2.38%	15.05	6644	43
2016	7	 มุกดาหาร	0	2	0.00%	0	3638	8
2016	10	 แม่ฮ่องสอน	0	6	0.00%	0	2023	9
2016	7	 ยโสธร	0	70	0.00%	0	4106	26
2016	12	 ยะลา	0	23	0.00%	0	8583	20
2016	6	 ร้อยเอ็ด	0	13	0.00%	0	5058	28
2016	11	 ระนอง	0	15	0.00%	0	3365	16
2016	3	 ระยอง	2	42	4.76%	34.78	5751	57
2016	4	 ราชบุรี	0	24	0.00%	0	9785	61
2016	2	 ลพบุรี	0	40	0.00%	0	5449	40
2016	10	 ลำปาง	0	19	0.00%	0	4287	23
2016	10	 ลำพูน	0	9	0.00%	0	3301	14
2016	6	 เลย	0	11	0.00%	0	6573	28
2016	7	 ศรีสะเกษ	0	34	0.00%	0	11994	45
2016	7	 สกลนคร	1	55	1.82%	8.88	11266	51
2016	12	 สงขลา	1	61	1.64%	6.46	15480	93
2016	12	 สตูล	0	15	0.00%	0	4281	18
2016	3	 สมุทรปราการ	4	77	5.19%	42.95	9314	79
2016	4	 สมุทรสงคราม	0	8	0.00%	0	1335	8
2016	4	 สมุทรสาคร	3	39	7.69%	24.06	12467	66
2016	3	 สระแก้ว	3	29	10.34%	220.75	1359	34
2016	2	 สระบุรี	2	30	6.67%	27.34	7315	49
2016	2	 สิงห์บุรี	0	10	0.00%	0	1798	9
2016	9	 สุโขทัย	0	31	0.00%	0	4179	34
2016	4	 สุพรรณบุรี	0	46	0.00%	0	7758	46
2016	11	 สุราษฎร์ธานี	7	76	9.21%	53.41	13107	85
2016	5	 สุรินทร์	0	41	0.00%	0	12118	43
2016	6	 หนองคาย	0	18	0.00%	0	4751	25
2016	6	 หนองบัวลำภู	0	9	0.00%	0	1562	7
2016	1	 อ่างทอง	1	27	3.70%	44.15	2265	22
2016	7	 อำนาจเจริญ	0	8	0.00%	0	3112	9
2016	6	 อุดรธานี	0	83	0.00%	0	12112	69
2016	9	 อุตรดิตถ์	0	4	0.00%	0	1957	18
2016	8	 อุทัยธานี	0	5	0.00%	0	2580	19
2016	7	 อุบลราชธานี	0	50	0.00%	0	17045	61
